Title,Release Date,Domestic Sales (in $),International Sales (in $),World Sales (in $),Genre,Movie Runtime
Atlantis: The Lost Empire,2001,84056472,101997253,186053725,"['Action', 'Adventure', 'Animation', 'Family', 'Fantasy', 'Sci-Fi']",1 hr 35 min
Cliffhanger,1993,84049211,170951000,255000211,"['Action', 'Adventure', 'Thriller']",1 hr 53 min
The Other Woman,2014,83911193,112799203,196710396,"['Comedy', 'Romance']",1 hr 49 min
The X Files,1998,83898313,105278110,189176423,"['Drama', 'Mystery', 'Sci-Fi', 'Thriller']",2 hr 1 min
Penguins of Madagascar,2014,83850911,289664710,373515621,"['Adventure', 'Animation', 'Comedy', 'Family', 'Sci-Fi']",1 hr 32 min
Die Hard,1988,83844093,57759104,141603197,"['Action', 'Thriller']",2 hr 12 min
Up in the Air,2009,83823381,83019358,166842739,"['Comedy', 'Drama', 'Romance']",1 hr 49 min
Wrath of the Titans,2012,83670083,218300000,301970083,"['Action', 'Adventure', 'Fantasy']",1 hr 39 min
Insidious: Chapter 2,2013,83586447,78332871,161919318,"['Horror', 'Mystery', 'Thriller']",1 hr 46 min
Under Siege,1992,83563139,73000000,156563139,"['Action', 'Thriller']",1 hr 43 min
Battle Los Angeles,2011,83552429,128266925,211819354,"['Action', 'Sci-Fi']",1 hr 56 min
Immortals,2011,83504017,143400000,226904017,"['Action', 'Drama', 'Fantasy', 'Romance']",1 hr 50 min
I Can Only Imagine,2018,83482352,2604529,86086881,"['Biography', 'Drama', 'Family', 'Music']",1 hr 50 min
Apocalypse Now,1979,83471511,8686553,92158064,"['Drama', 'Mystery', 'War']",2 hr 27 min
Patriot Games,1992,83351587,94700000,178051587,"['Action', 'Thriller']",1 hr 57 min
Saving Mr. Banks,2013,83301580,34566404,117867984,"['Biography', 'Comedy', 'Drama']",2 hr 5 min
Smallfoot,2018,83240103,130800000,214040103,"['Adventure', 'Animation', 'Comedy', 'Drama', 'Family', 'Fantasy', 'Musical']",1 hr 36 min
Good Boys,2019,83140306,27896926,111037232,"['Adventure', 'Comedy']",1 hr 30 min
Valkyrie,2008,83077833,118467684,201545517,"['Drama', 'History', 'Thriller', 'War']",2 hr 1 min
Brokeback Mountain,2005,83043761,95018998,178062759,"['Drama', 'Romance']",2 hr 14 min
Turbo,2013,83028128,199542554,282570682,"['Adventure', 'Animation', 'Comedy', 'Family', 'Sport']",1 hr 36 min
Disclosure,1994,83015089,131000000,214015089,"['Drama', 'Thriller']",2 hr 8 min
Charlotte's Web,2006,82985708,65978114,148963822,"['Adventure', 'Comedy', 'Family', 'Fantasy']",1 hr 37 min
Monster-in-Law,2005,82931301,72526026,155457327,"['Comedy', 'Romance']",1 hr 41 min
Are We There Yet?,2005,82674398,15244265,97918663,"['Adventure', 'Comedy', 'Family', 'Fantasy', 'Romance']",1 hr 35 min
Freddy vs. Jason,2003,82622655,34009973,116632628,"['Action', 'Horror']",1 hr 37 min
Star Trek: The Motion Picture,1979,82604699,82604699,82604699,"['Adventure', 'Mystery', 'Sci-Fi']",2 hr 12 min
The Descendants,2011,82584160,94659025,177243185,"['Comedy', 'Drama']",1 hr 55 min
Cheaper by the Dozen 2,2005,82571173,47583395,130154568,"['Adventure', 'Comedy', 'Family']",1 hr 34 min
Mr. Holland's Opus,1995,82569971,23700000,106269971,"['Drama', 'Music']",2 hr 23 min
Bram Stoker's Dracula,1992,82522790,133339902,215862692,"['Drama', 'Fantasy', 'Horror', 'Romance']",2 hr 8 min
Let's Be Cops,2014,82390774,55834177,138224951,"['Action', 'Comedy', 'Crime']",1 hr 44 min
Blade II,2002,82348319,72661713,155010032,"['Action', 'Horror', 'Sci-Fi', 'Thriller']",1 hr 57 min
Beowulf,2007,82280579,114113166,196393745,"['Action', 'Adventure', 'Animation', 'Fantasy']",1 hr 55 min
Bridge to Terabithia,2007,82272442,55314621,137587063,"['Drama', 'Family', 'Fantasy']",1 hr 36 min
The Pink Panther,2006,82226474,81889423,164115897,"['Adventure', 'Comedy', 'Crime', 'Mystery']",1 hr 33 min
Teenage Mutant Ninja Turtles: Out of the Shadows,2016,82051601,163572247,245623848,"['Action', 'Adventure', 'Comedy', 'Sci-Fi']",1 hr 52 min
The Post,2017,81903458,98515818,180419276,['Drama'],1 hr 56 min
Alien,1979,81900459,24385063,106285522,"['Horror', 'Sci-Fi']",1 hr 57 min
Maze Runner: The Scorch Trials,2015,81697192,230598864,312296056,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",2 hr 11 min
Eight Below,2006,81612565,38843429,120455994,"['Adventure', 'Drama', 'Family']",2 hr
MASH,1970,81600000,81600000,81600000,"['Comedy', 'Drama', 'War']",1 hr 56 min
Unstoppable,2010,81562942,86242524,167805466,"['Action', 'Thriller']",1 hr 38 min
Payback,1999,81526121,80100000,161626121,"['Action', 'Crime', 'Drama', 'Thriller']",1 hr 40 min
Ted 2,2015,81476385,134387221,215863606,['Comedy'],1 hr 55 min
