Title,Release Date,Domestic Sales (in $),International Sales (in $),World Sales (in $),Genre,Movie Runtime
Liar Liar,1997,181410615,121300000,302710615,"['Comedy', 'Fantasy']",1 hr 26 min
Jurassic Park III,2001,181171875,187608934,368780809,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",1 hr 32 min
Thor,2011,181030624,268295994,449326618,"['Action', 'Adventure', 'Fantasy']",1 hr 55 min
Mission: Impossible,1996,180981856,276714535,457696391,"['Action', 'Adventure', 'Thriller']",1 hr 50 min
Ant-Man,2015,180202163,339109802,519311965,"['Action', 'Adventure', 'Comedy', 'Sci-Fi']",1 hr 57 min
Planet of the Apes,2001,180011740,182200000,362211740,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",1 hr 59 min
Madagascar: Escape 2 Africa,2008,180010950,423889404,603900354,"['Adventure', 'Animation', 'Comedy', 'Family']",1 hr 29 min
X-Men Origins: Wolverine,2009,179883157,193179707,373062864,"['Action', 'Sci-Fi']",1 hr 47 min
Indiana Jones and the Temple of Doom,1984,179870271,153237000,333107271,"['Action', 'Adventure']",1 hr 58 min
Hitch,2005,179495555,192098655,371594210,"['Comedy', 'Romance']",1 hr 58 min
Men in Black 3,2012,179020854,445005922,624026776,"['Action', 'Adventure', 'Comedy', 'Sci-Fi']",1 hr 46 min
Pretty Woman,1990,178406268,285000000,463406268,"['Comedy', 'Romance']",1 hr 59 min
Home,2015,177397510,208644097,386041607,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']",1 hr 34 min
Night at the Museum: Battle of the Smithsonian,2009,177243721,235862449,413106170,"['Adventure', 'Comedy', 'Family', 'Fantasy']",1 hr 45 min
Tootsie,1982,177200000,177200000,177200000,"['Comedy', 'Drama', 'Romance']",1 hr 56 min
How to Train Your Dragon 2,2014,177002924,444534595,621537519,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",1 hr 42 min
Rise of the Planet of the Apes,2011,176760185,305040688,481800873,"['Action', 'Drama', 'Sci-Fi', 'Thriller']",1 hr 45 min
Captain America: The First Avenger,2011,176654505,193915269,370569774,"['Action', 'Adventure', 'Sci-Fi']",2 hr 4 min
Elf,2003,176630408,47223328,223853736,"['Adventure', 'Comedy', 'Family', 'Fantasy', 'Romance']",1 hr 37 min
The Karate Kid,2010,176591618,182534404,359126022,"['Action', 'Drama', 'Family', 'Sport']",2 hr 20 min
There's Something About Mary,1998,176484651,193400000,369884651,"['Comedy', 'Romance']",1 hr 59 min
Ice Age,2002,176387405,206869731,383257136,"['Adventure', 'Animation', 'Comedy', 'Family']",1 hr 21 min
The Bourne Supremacy,2004,176241941,114593328,290835269,"['Action', 'Mystery', 'Thriller']",1 hr 48 min
The Lego Batman Movie,2017,175750384,136200000,311950384,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']",1 hr 44 min
Us,2019,175084580,80100902,255185482,"['Horror', 'Mystery', 'Thriller']",1 hr 56 min
The Boss Baby,2017,175003033,352962903,527965936,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",1 hr 37 min
Crazy Rich Asians,2018,174532921,64006277,238539198,"['Comedy', 'Drama', 'Romance']",2 hr
The Greatest Showman,2017,174340174,262609460,436949634,"['Biography', 'Drama', 'Musical']",1 hr 45 min
Fast & Furious Presents: Hobbs & Shaw,2019,173956935,585100000,759056935,"['Action', 'Adventure', 'Thriller']",2 hr 17 min
Apollo 13,1995,173837933,181077570,355237933,"['Adventure', 'Drama', 'History']",2 hr 20 min
Home Alone 2: Lost in New York,1992,173585516,185409334,358994850,"['Adventure', 'Comedy', 'Crime', 'Family']",2 hr
National Treasure,2004,173008894,174503424,347512318,"['Action', 'Adventure', 'Mystery', 'Thriller']",2 hr 11 min
F9: The Fast Saga,2021,173005945,553223556,726229501,"['Action', 'Crime', 'Thriller']",2 hr 23 min
Air Force One,1997,172956409,142200000,315156409,"['Action', 'Drama', 'Thriller']",2 hr 4 min
Rain Man,1988,172825435,182000000,354825435,['Drama'],2 hr 13 min
Pirates of the Caribbean: Dead Men Tell No Tales,2017,172558876,622322566,794881442,"['Action', 'Adventure', 'Fantasy']",2 hr 9 min
TRON: Legacy,2010,172062763,228001089,400063852,"['Action', 'Adventure', 'Sci-Fi']",2 hr 5 min
Mary Poppins Returns,2018,171958438,177587704,349546142,"['Adventure', 'Comedy', 'Family', 'Fantasy', 'Musical']",2 hr 10 min
The Matrix,1999,171479930,295145800,466625730,"['Action', 'Sci-Fi']",2 hr 16 min
True Grit,2010,171243005,81033922,252276927,"['Drama', 'Western']",1 hr 50 min
Tarzan,1999,171091819,277100000,448191819,"['Adventure', 'Animation', 'Comedy', 'Drama', 'Family', 'Music']",1 hr 28 min
John Wick: Chapter 3 - Parabellum,2019,171015687,156266092,327281779,"['Action', 'Crime', 'Thriller']",2 hr 10 min
A Beautiful Mind,2001,170742341,146048916,316791257,"['Biography', 'Drama']",2 hr 15 min
Chicago,2002,170687518,136089214,306776732,"['Comedy', 'Crime', 'Musical']",1 hr 53 min
The Help,2011,169708112,46931000,216639112,['Drama'],2 hr 26 min
Hotel Transylvania 2,2015,169700110,305486596,475186706,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Horror']",1 hr 29 min
Hidden Figures,2016,169607287,66349611,235956898,"['Biography', 'Drama', 'History']",2 hr 7 min
Bridesmaids,2011,169106725,119276798,288383523,"['Comedy', 'Romance']",2 hr 5 min
Quantum of Solace,2008,168368427,421212055,589580482,"['Action', 'Adventure', 'Thriller']",1 hr 46 min
Wild Hogs,2007,168273550,85351877,253625427,"['Action', 'Adventure', 'Comedy']",1 hr 40 min
Kong: Skull Island,2017,168052812,398600000,566652812,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",1 hr 58 min
Three Men and a Baby,1987,167780960,167780960,167780960,"['Comedy', 'Drama', 'Family']",1 hr 42 min
Gone Girl,2014,167767189,201563174,369330363,"['Drama', 'Mystery', 'Thriller']",2 hr 29 min
Hotel Transylvania 3: Summer Vacation,2018,167510016,361073758,528583774,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Horror']",1 hr 37 min
Casino Royale,2006,167445960,449056952,616502912,"['Action', 'Adventure', 'Thriller']",2 hr 24 min
Meet the Parents,2000,166244045,164200000,330444045,"['Comedy', 'Romance']",1 hr 48 min
Fifty Shades of Grey,2015,166167230,403484237,569651467,"['Drama', 'Romance', 'Thriller']",2 hr 5 min
2012,2009,166112167,625105659,791217826,"['Action', 'Adventure', 'Sci-Fi']",2 hr 38 min
Robin Hood: Prince of Thieves,1991,165493908,225000000,390493908,"['Action', 'Adventure', 'Drama', 'Romance']",2 hr 23 min
Knives Out,2019,165363234,146242347,311605581,"['Comedy', 'Crime', 'Drama', 'Mystery', 'Thriller']",2 hr 10 min
Kung Fu Panda 2,2011,165249063,500443218,665692281,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",1 hr 30 min
Hannibal,2001,165092268,186600000,351692268,"['Crime', 'Drama', 'Thriller']",2 hr 11 min
Eternals,2021,164819595,237027887,401847482,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",2 hr 36 min
Catch Me If You Can,2002,164615351,187498961,352114312,"['Biography', 'Crime', 'Drama']",2 hr 21 min
The Proposal,2009,163958031,153417000,317375031,"['Comedy', 'Drama', 'Romance']",1 hr 48 min
The Pursuit of Happyness,2006,163566459,143561166,307127625,"['Biography', 'Drama']",1 hr 57 min
Big Daddy,1999,163479795,71322100,234801895,"['Comedy', 'Drama']",1 hr 33 min
Clash of the Titans,2010,163214888,330000105,493214993,"['Action', 'Adventure', 'Fantasy']",1 hr 46 min
The SpongeBob Movie: Sponge Out of Water,2015,162994032,162192000,325186032,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",1 hr 32 min
Batman Returns,1992,162902340,103990656,266892996,"['Action', 'Crime', 'Fantasy']",2 hr 6 min
Django Unchained,2012,162805434,263268939,426074373,"['Drama', 'Western']",2 hr 45 min
A Bug's Life,1998,162798565,200460294,363258859,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",1 hr 35 min
Jason Bourne,2016,162434410,253050504,415484914,"['Action', 'Thriller']",2 hr 3 min
Grown Ups,2010,162001186,109456115,271457301,['Comedy'],1 hr 42 min
The Waterboy,1998,161491646,24500000,185991646,"['Comedy', 'Sport']",1 hr 30 min
Ice Age: Continental Drift,2012,161321843,715922939,877244782,"['Adventure', 'Animation', 'Comedy', 'Family']",1 hr 28 min
Straight Outta Compton,2015,161197785,40437206,201634991,"['Biography', 'Drama', 'History', 'Music']",2 hr 27 min
Die Another Day,2002,160942139,271028977,431971116,"['Action', 'Adventure', 'Thriller']",2 hr 13 min
Shark Tale,2004,160861908,213721971,374583879,"['Adventure', 'Animation', 'Comedy', 'Family', 'Thriller']",1 hr 30 min
How to Train Your Dragon: The Hidden World,2019,160799505,363589578,524389083,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",1 hr 44 min
No Time to Die,2021,160772007,613262000,774034007,"['Action', 'Adventure', 'Thriller']",2 hr 43 min
A Quiet Place Part II,2020,160072261,137300000,297372261,"['Drama', 'Horror', 'Sci-Fi', 'Thriller']",1 hr 37 min
The Heat,2013,159582188,70348583,229930771,"['Action', 'Comedy', 'Crime']",1 hr 57 min
Fantastic Beasts: The Crimes of Grindelwald,2018,159555901,495300000,654855901,"['Adventure', 'Family', 'Fantasy']",2 hr 14 min
Halloween,2018,159342015,96272926,255614941,"['Crime', 'Horror', 'Thriller']",1 hr 46 min
1917,2019,159227644,225691745,384919389,"['Action', 'Drama', 'War']",1 hr 59 min
The Secret Life of Pets 2,2019,158874395,271176898,430051293,"['Adventure', 'Animation', 'Comedy', 'Family']",1 hr 26 min
Star Trek Beyond,2016,158848340,184623476,343471816,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",2 hr 2 min
The Firm,1993,158348367,111900000,270248367,"['Drama', 'Mystery', 'Thriller']",2 hr 34 min
The Longest Yard,2005,158119460,33347096,191466556,"['Comedy', 'Crime', 'Sport']",1 hr 53 min
X-Men,2000,157299718,139039810,296339528,"['Action', 'Adventure', 'Sci-Fi']",1 hr 44 min
Scary Movie,2000,157019771,121000000,278019771,['Comedy'],1 hr 28 min
Who Framed Roger Rabbit,1988,156452370,173351588,329803958,"['Adventure', 'Animation', 'Comedy', 'Crime', 'Family', 'Fantasy', 'Mystery']",1 hr 44 min
What Lies Beneath,2000,155464351,135956000,291420351,"['Drama', 'Horror', 'Mystery', 'Thriller']",2 hr 10 min
X-Men: Apocalypse,2016,155442489,388491616,543934105,"['Action', 'Adventure', 'Sci-Fi']",2 hr 24 min
The Mummy,1999,155385488,260547918,415933406,"['Action', 'Adventure', 'Fantasy']",2 hr 4 min
Snow White and the Huntsman,2012,155332381,241260448,396592829,"['Action', 'Adventure', 'Drama', 'Fantasy']",2 hr 7 min
San Andreas,2015,155190832,318818322,474009154,"['Action', 'Adventure', 'Thriller']",1 hr 54 min
Fast & Furious,2009,155064265,205302605,360366870,"['Action', 'Crime', 'Thriller']",1 hr 47 min
Over the Hedge,2006,155019340,184776550,339795890,"['Adventure', 'Animation', 'Comedy', 'Family']",1 hr 23 min
Fantastic Four,2005,154696080,178839854,333535934,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",1 hr 46 min
Horton Hears a Who!,2008,154529439,144043360,298572799,"['Adventure', 'Animation', 'Comedy', 'Drama', 'Family', 'Fantasy', 'Music']",1 hr 26 min
Mad Max: Fury Road,2015,154058340,221600410,375658750,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",2 hr
Jerry Maguire,1996,153952592,119600000,273552592,"['Comedy', 'Drama', 'Romance', 'Sport']",2 hr 19 min
Trolls,2016,153707064,193157822,346864886,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Musical', 'Romance']",1 hr 32 min
Scooby-Doo,2002,153294164,122356539,275650703,"['Adventure', 'Comedy', 'Family', 'Fantasy', 'Mystery']",1 hr 29 min
Cars 3,2017,152901115,231029541,383930656,"['Adventure', 'Animation', 'Comedy', 'Family', 'Sport']",1 hr 42 min
Sex and the City,2008,152647258,266118261,418765519,"['Comedy', 'Drama', 'Romance']",2 hr 25 min
Runaway Bride,1999,152257509,157202783,309460292,"['Comedy', 'Romance']",1 hr 56 min
La La Land,2016,151101803,297805062,448906865,"['Comedy', 'Drama', 'Music', 'Musical', 'Romance']",2 hr 8 min
Divergent,2014,150947895,137937923,288885818,"['Action', 'Adventure', 'Mystery', 'Sci-Fi']",2 hr 19 min
We're the Millers,2013,150394119,119600000,269994119,"['Comedy', 'Crime']",1 hr 50 min
Terminator 3: Rise of the Machines,2003,150371112,283000000,433371112,"['Action', 'Sci-Fi']",1 hr 49 min
Daddy's Home,2015,150357137,92429000,242786137,"['Comedy', 'Family']",1 hr 36 min
G.I. Joe: The Rise of Cobra,2009,150201498,152267519,302469017,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",1 hr 58 min
Neighbors,2014,150157400,120507734,270665134,['Comedy'],1 hr 37 min
American Hustle,2013,150117807,101054000,251171807,"['Crime', 'Drama']",2 hr 18 min
Puss in Boots,2011,149260504,405726973,554987477,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",1 hr 30 min
Sonic the Hedgehog,2020,148974665,170741018,319715683,"['Action', 'Adventure', 'Comedy', 'Sci-Fi']",1 hr 39 min
Les Misérables,2012,148809770,293489539,442299309,"['Drama', 'Musical', 'Romance']",2 hr 38 min
Knocked Up,2007,148768917,71153500,219922417,"['Comedy', 'Romance']",2 hr 9 min
As Good as It Gets,1997,148478011,165700000,314178011,"['Comedy', 'Drama', 'Romance']",2 hr 19 min
Little Fockers,2010,148438600,162211985,310650585,"['Comedy', 'Romance']",1 hr 38 min
Megamind,2010,148415853,173469912,321885765,"['Action', 'Animation', 'Comedy', 'Crime', 'Family', 'Mystery', 'Sci-Fi', 'Thriller']",1 hr 35 min
Hotel Transylvania,2012,148313048,210062555,358375603,"['Animation', 'Comedy', 'Family', 'Fantasy', 'Horror']",1 hr 31 min
Talladega Nights: The Ballad of Ricky Bobby,2006,148213377,15148718,163362095,"['Comedy', 'Sport']",1 hr 48 min
Gran Torino,2008,148095302,121862926,269958228,['Drama'],1 hr 56 min
Lethal Weapon 2,1989,147253986,80600000,227853986,"['Action', 'Crime', 'Thriller']",1 hr 54 min
War for the Planet of the Apes,2017,146880162,343839601,490719763,"['Action', 'Adventure', 'Drama', 'Sci-Fi', 'Thriller']",2 hr 20 min
X-Men: First Class,2011,146408305,206208385,352616690,"['Action', 'Adventure', 'Sci-Fi']",2 hr 11 min
Paul Blart: Mall Cop,2009,146336178,37012251,183348429,"['Action', 'Comedy', 'Crime', 'Family']",1 hr 31 min
True Lies,1994,146282411,232600000,378882411,"['Action', 'Comedy', 'Thriller']",2 hr 21 min
Lilo & Stitch,2002,145794338,127349813,273144151,"['Adventure', 'Animation', 'Comedy', 'Drama', 'Family', 'Fantasy', 'Sci-Fi']",1 hr 25 min
The Santa Clause,1994,145539357,45000000,190539357,"['Comedy', 'Drama', 'Family', 'Fantasy']",1 hr 37 min
The Meg,2018,145443742,384994536,530438278,"['Action', 'Horror', 'Sci-Fi', 'Thriller']",1 hr 53 min
American Pie 2,2001,145103595,142450000,287553595,['Comedy'],1 hr 48 min
Taken,2008,145000989,81836771,226837760,"['Action', 'Crime', 'Thriller']",1 hr 30 min
The Great Gatsby,2013,144840419,208801855,353642274,"['Drama', 'Romance']",2 hr 23 min
"I, Robot",2004,144801023,208332875,353133898,"['Action', 'Mystery', 'Sci-Fi', 'Thriller']",1 hr 55 min
Lethal Weapon 3,1992,144731527,177000000,321731527,"['Action', 'Crime', 'Thriller']",1 hr 58 min
The Fast and the Furious,2001,144533925,62771584,207305509,"['Action', 'Crime', 'Thriller']",1 hr 46 min
Mamma Mia!,2008,144169664,467088155,611257819,"['Comedy', 'Musical', 'Romance']",1 hr 48 min
Doctor Dolittle,1998,144156605,150300000,294456605,"['Comedy', 'Family', 'Fantasy']",1 hr 25 min
Pokémon Detective Pikachu,2019,144105346,289409488,433514834,"['Action', 'Adventure', 'Comedy', 'Family', 'Mystery', 'Sci-Fi']",1 hr 44 min
Rio,2011,143619809,340246709,483866518,"['Adventure', 'Animation', 'Comedy', 'Family', 'Music', 'Musical']",1 hr 36 min
Kung Fu Panda 3,2016,143528619,377642206,521170825,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",1 hr 35 min
Juno,2007,143495265,88877416,232372681,"['Comedy', 'Drama']",1 hr 36 min
Marley & Me,2008,143153751,112589342,255743093,"['Comedy', 'Drama', 'Family']",1 hr 51 min
The Smurfs,2011,142614158,421135165,563749323,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",1 hr 43 min
Once Upon a Time... In Hollywood,2019,142502728,232063026,374565754,"['Comedy', 'Drama']",2 hr 41 min
xXx,2002,142109382,135339000,277448382,"['Action', 'Adventure', 'Thriller']",2 hr 4 min
The Chronicles of Narnia: Prince Caspian,2008,141621490,278044078,419665568,"['Action', 'Adventure', 'Family', 'Fantasy']",2 hr 30 min
Pocahontas,1995,141579773,204500000,346079773,"['Adventure', 'Animation', 'Drama', 'Family', 'Musical', 'Romance']",1 hr 21 min
A Few Good Men,1992,141340178,101900000,243240178,"['Drama', 'Thriller']",2 hr 18 min
Slumdog Millionaire,2008,141319928,237090614,378410542,"['Drama', 'Romance']",2 hr
Rush Hour,1998,141186864,103534200,244721064,"['Action', 'Comedy', 'Crime', 'Thriller']",1 hr 38 min
The Blair Witch Project,1999,140539099,108100000,248639099,"['Horror', 'Mystery']",1 hr 21 min
Deep Impact,1998,140464664,209000000,349464664,"['Action', 'Drama', 'Sci-Fi', 'Thriller']",2 hr
Shazam!,2019,140371656,225600000,365971656,"['Action', 'Adventure', 'Comedy', 'Fantasy']",2 hr 12 min
Ocean's Eight,2018,140218711,157500000,297718711,"['Action', 'Comedy', 'Crime', 'Thriller']",1 hr 50 min
Rush Hour 3,2007,140125968,117971154,258097122,"['Action', 'Comedy', 'Crime', 'Thriller']",1 hr 31 min
Stuart Little,1999,140035367,160100000,300135367,"['Adventure', 'Comedy', 'Family', 'Fantasy']",1 hr 24 min
Taken 2,2012,139854287,236298168,376152455,"['Action', 'Crime', 'Thriller']",1 hr 32 min
Sister Act,1992,139605150,92000000,231605150,"['Comedy', 'Family', 'Music']",1 hr 40 min
The Matrix Revolutions,2003,139313948,288030377,427344325,"['Action', 'Sci-Fi']",2 hr 9 min
The Santa Clause 2,2002,139236327,33618738,172855065,"['Comedy', 'Family', 'Fantasy']",1 hr 44 min
The King's Speech,2010,138797449,288576868,427374317,"['Biography', 'Drama', 'History']",1 hr 58 min
Cheaper by the Dozen,2003,138614544,51924086,190538630,"['Comedy', 'Family']",1 hr 38 min
Bad Boys II,2003,138608444,134731112,273339556,"['Action', 'Comedy', 'Crime', 'Thriller']",2 hr 27 min
Platoon,1986,138530565,15067,138545632,"['Drama', 'War']",2 hr
21 Jump Street,2012,138447667,63137661,201585328,"['Action', 'Comedy', 'Crime']",1 hr 49 min
Good Will Hunting,1997,138433435,87500000,225933435,"['Drama', 'Romance']",2 hr 6 min
Split,2016,138291365,140163052,278454417,"['Horror', 'Thriller']",1 hr 57 min
A Christmas Carol,2009,137855863,187430783,325286646,"['Adventure', 'Animation', 'Comedy', 'Drama', 'Family', 'Fantasy']",1 hr 36 min
Dinosaur,2000,137748063,212074702,349822765,"['Adventure', 'Animation', 'Drama', 'Family', 'Fantasy']",1 hr 22 min
Ready Player One,2018,137690172,445203499,582893671,"['Action', 'Adventure', 'Sci-Fi']",2 hr 20 min
The Conjuring,2013,137400141,182890848,320290989,"['Horror', 'Mystery', 'Thriller']",1 hr 52 min
Click,2006,137355633,103329693,240685326,"['Comedy', 'Drama', 'Fantasy', 'Romance']",1 hr 47 min
The Green Mile,1999,136801374,150000000,286801374,"['Crime', 'Drama', 'Fantasy', 'Mystery']",3 hr 9 min
Ransom,1996,136492681,173000000,309492681,"['Action', 'Crime', 'Thriller']",2 hr 1 min
Godzilla,1998,136314294,242700000,379014294,"['Action', 'Sci-Fi', 'Thriller']",2 hr 19 min
Argo,2012,136025503,96300000,232325503,"['Biography', 'Drama', 'Thriller']",2 hr
Anger Management,2003,135645823,60100000,195745823,['Comedy'],1 hr 46 min
Chicken Little,2005,135386665,179046172,314432837,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']",1 hr 21 min
Teenage Mutant Ninja Turtles,1990,135265915,66700000,201965915,"['Action', 'Adventure', 'Comedy', 'Family', 'Sci-Fi']",1 hr 33 min
Patch Adams,1998,135026902,67266000,202292902,"['Biography', 'Comedy', 'Drama', 'Romance']",1 hr 55 min
The Godfather,1972,134966411,111154575,246120986,"['Crime', 'Drama']",2 hr 55 min
Ride Along,2014,134938200,19530702,154468902,"['Action', 'Comedy', 'Crime']",1 hr 39 min
The Incredible Hulk,2008,134806913,129964083,264770996,"['Action', 'Adventure', 'Sci-Fi']",1 hr 52 min
Live Free or Die Hard,2007,134529403,253626608,388156011,"['Action', 'Thriller']",2 hr 8 min
Wanted,2008,134508551,207954512,342463063,"['Action', 'Crime', 'Thriller']",1 hr 50 min
Identity Thief,2013,134506920,39458090,173965010,"['Comedy', 'Crime', 'Drama']",1 hr 51 min
Superman,1978,134451603,166000000,300451603,"['Action', 'Adventure', 'Sci-Fi']",2 hr 23 min
The Rock,1996,134069511,200993110,335062621,"['Action', 'Adventure', 'Thriller']",2 hr 16 min
Mission: Impossible III,2006,134029801,264449696,398479497,"['Action', 'Adventure', 'Thriller']",2 hr 6 min
Grown Ups 2,2013,133668525,113315753,246984278,['Comedy'],1 hr 41 min
Troy,2004,133378256,364031596,497409852,"['Drama', 'History']",2 hr 43 min
Angels & Demons,2009,133375846,352554970,485930816,"['Action', 'Mystery', 'Thriller']",2 hr 18 min
Alvin and the Chipmunks: Chipwrecked,2011,133110742,209584693,342695435,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Music', 'Musical']",1 hr 27 min
Bringing Down the House,2003,132716677,32013002,164729679,['Comedy'],1 hr 45 min
The Wolverine,2013,132556852,282271394,414828246,"['Action', 'Sci-Fi']",2 hr 6 min
Wonder,2017,132422809,173786480,306209289,"['Drama', 'Family']",1 hr 53 min
The Departed,2006,132384315,159081058,291465373,"['Crime', 'Drama', 'Thriller']",2 hr 31 min
Hulk,2003,132177234,113107931,245285165,"['Action', 'Sci-Fi']",2 hr 18 min
Silver Linings Playbook,2012,132092958,104319495,236412453,"['Comedy', 'Drama', 'Romance']",2 hr 2 min
Minority Report,2002,132072926,226300000,358372926,"['Action', 'Crime', 'Mystery', 'Sci-Fi', 'Thriller']",2 hr 25 min
Fantastic 4: Rise of the Silver Surfer,2007,131921738,169991393,301913131,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",1 hr 32 min
The Last Airbender,2010,131772187,187941694,319713881,"['Action', 'Adventure', 'Family', 'Fantasy']",1 hr 43 min
Rio 2,2014,131538435,367242682,498781117,"['Adventure', 'Animation', 'Comedy', 'Family', 'Music', 'Musical']",1 hr 41 min
Lara Croft: Tomb Raider,2001,131168070,143535270,274703340,"['Action', 'Adventure', 'Fantasy', 'Thriller']",1 hr 40 min
The Silence of the Lambs,1991,130742922,142000000,272742922,"['Crime', 'Drama', 'Horror', 'Thriller']",1 hr 58 min
The Flintstones,1994,130531208,211100000,341631208,"['Comedy', 'Family', 'Fantasy']",1 hr 31 min
Lethal Weapon 4,1998,130444603,155000000,285444603,"['Action', 'Crime', 'Thriller']",2 hr 7 min
Get Smart,2008,130319208,100366245,230685453,"['Action', 'Adventure', 'Comedy']",1 hr 50 min
The Divergent Series: Insurgent,2015,130179072,166823455,297002527,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",1 hr 59 min
The Peanuts Movie,2015,130178411,116054702,246233113,"['Adventure', 'Animation', 'Comedy', 'Drama', 'Family']",1 hr 28 min
Transformers: The Last Knight,2017,130168683,475256474,605425157,"['Action', 'Adventure', 'Sci-Fi']",2 hr 34 min
American Gangster,2007,130164645,139590785,269755430,"['Biography', 'Crime', 'Drama']",2 hr 37 min
American Beauty,1999,130096601,226200000,356296601,['Drama'],2 hr 2 min
The Ring,2002,129128133,120220800,249348933,"['Horror', 'Mystery']",1 hr 55 min
The Nutty Professor,1996,128814019,145147000,273961019,"['Comedy', 'Romance', 'Sci-Fi']",1 hr 35 min
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,128505958,134046935,262552893,['Comedy'],1 hr 24 min
Ghostbusters,2016,128350574,100796935,229147509,"['Action', 'Comedy', 'Fantasy', 'Sci-Fi']",1 hr 57 min
Kingsman: The Secret Service,2014,128261724,286089822,414351546,"['Action', 'Adventure', 'Comedy', 'Thriller']",2 hr 9 min
Robots,2005,128200012,134311478,262511490,"['Adventure', 'Animation', 'Comedy', 'Family', 'Romance', 'Sci-Fi']",1 hr 31 min
"Crouching Tiger, Hidden Dragon",2000,128078872,85446864,213525736,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Romance']",2 hr
Shutter Island,2010,128012934,166792763,294805697,"['Mystery', 'Thriller']",2 hr 18 min
Into the Woods,2014,128002372,84900000,212902372,"['Adventure', 'Comedy', 'Drama', 'Fantasy', 'Musical']",2 hr 5 min
Rocky IV,1985,127873716,172600000,300473716,"['Drama', 'Sport']",1 hr 31 min
Enchanted,2007,127807262,212680574,340487836,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Musical', 'Romance']",1 hr 47 min
The Curious Case of Benjamin Button,2008,127509326,208293460,335802786,"['Drama', 'Fantasy', 'Romance']",2 hr 46 min
Central Intelligence,2016,127440871,89531672,216972543,"['Action', 'Comedy', 'Crime']",1 hr 47 min
Anchorman 2: The Legend Continues,2013,127352707,46297224,173649931,['Comedy'],1 hr 59 min
Sweet Home Alabama,2002,127223418,53399006,180622424,"['Comedy', 'Romance']",1 hr 48 min
Bumblebee,2018,127195589,340794056,467989645,"['Action', 'Adventure', 'Sci-Fi']",1 hr 54 min
Dumb and Dumber,1994,127175374,120100000,247275374,['Comedy'],1 hr 47 min
2 Fast 2 Furious,2003,127154901,109195760,236350661,"['Action', 'Crime', 'Thriller']",1 hr 47 min
My Best Friend's Wedding,1997,127120029,172168576,299288605,"['Comedy', 'Drama', 'Romance']",1 hr 45 min
Super 8,2011,127004179,133091807,260095986,"['Action', 'Mystery', 'Sci-Fi', 'Thriller']",1 hr 52 min
The World Is Not Enough,1999,126943684,234888716,361832400,"['Action', 'Adventure', 'Thriller']",2 hr 8 min
Sleepless in Seattle,1993,126808165,101119000,227927165,"['Comedy', 'Drama', 'Romance']",1 hr 45 min
Lucy,2014,126663600,332200000,458863600,"['Action', 'Sci-Fi', 'Thriller']",1 hr 29 min
The Legend of Tarzan,2016,126643061,230057296,356700357,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Romance']",1 hr 50 min
Bee Movie,2007,126631277,166883059,293514336,"['Adventure', 'Animation', 'Comedy', 'Drama', 'Family']",1 hr 31 min
Prometheus,2012,126477084,276877385,403354469,"['Adventure', 'Mystery', 'Sci-Fi']",2 hr 4 min
Safe House,2012,126373434,81702771,208076205,"['Action', 'Thriller']",1 hr 55 min
Mr. Deeds,2002,126293452,44976083,171269535,"['Comedy', 'Romance']",1 hr 36 min
The Truman Show,1998,125618201,138500000,264118201,"['Comedy', 'Drama']",1 hr 43 min
Erin Brockovich,2000,125595205,130676081,256271286,"['Biography', 'Drama']",2 hr 11 min
